uvrgcn,sub,all,True,True,0,2025-07-07 18:38:11.347179,0.9,7,7,0.03,0.001,200,0.5116589665412903,0.4018450975418091,0.5689865946769714,0.728530764579773,0.4751628637313843,0.36467236280441284,0.5323565602302551,0.6942070722579956,0.48081761598587036,0.36535070836544037,0.541039228439331,0.7091304063796997,0.4934109151363373,0.38325873017311096,0.5506715774536133,0.7113689184188843
uvrgcn,sub,all,True,True,0,2025-07-08 04:34:00.148121,0.9,7,7,0.03,0.001,200,0.5153975486755371,0.4038800895214081,0.5769909024238586,0.7288020849227905,0.4755852222442627,0.3649437129497528,0.5300502181053162,0.6919007301330566,0.48219481110572815,0.36541853845119476,0.5444309115409851,0.7077737152576447,0.4954913854598999,0.38441190123558044,0.5535205602645874,0.7103514075279236
uvrgcn,sub,all,True,True,0,2025-07-08 14:52:53.283912,0.9,7,7,0.03,0.001,200,0.511022686958313,0.4014380872249603,0.5699362754821777,0.7218830585479736,0.47194963693618774,0.36141636967658997,0.5280151963233948,0.6916294097900391,0.4792693853378296,0.3639940470457077,0.539343386888504,0.7034324109554291,0.49148616194725037,0.38142722845077515,0.5489757359027863,0.7067562341690063
uvrgcn,sub,all,True,True,0,2025-09-25 21:17:26.087359,0.9,7,7,0.03,0.001,200,False,False,False,False,0.43090587854385376,0.2964319884777069,0.5035951733589172,0.6891874074935913,0.38948893547058105,0.2498982548713684,0.4652014672756195,0.658390998840332,0.40262287855148315,0.2650929465889931,0.47673314809799194,0.671075850725174,0.4101974070072174,0.27316512167453766,0.48439832031726837,0.6737892031669617
uvrgcn,sub,all,True,True,False,0,2025-10-01 03:29:49.130846,0.9,7,7,0.03,0.001,200,0.1,0.2,0.3,0.5242044925689697,0.41527611017227173,0.5797042846679688,0.7385700941085815,0.4852554202079773,0.3707773983478546,0.5432099103927612,0.7117080688476562,0.49107712507247925,0.3738298863172531,0.551417738199234,0.7220865786075592,0.5047299861907959,0.39302675426006317,0.561457097530365,0.7251390814781189
uvrgcn,sub,all,True,True,False,0,2025-10-04 09:18:18.708283,0.9,7,7,0.03,0.001,200,0.03,0.1,0.35,0.1,0.5254892706871033,0.41432642936706543,0.5906932950019836,0.7354497909545898,0.48494425415992737,0.368878036737442,0.5494505763053894,0.7108940482139587,0.4913804531097412,0.3719305545091629,0.5598969161510468,0.7206620872020721,0.5052167773246765,0.3916022330522537,0.5700719356536865,0.7231719195842743
uvrgcn,sub,all,True,True,False,0,2025-10-09 01:16:36.163708,0.9,7,7,0.03,0.001,200,0.03,0.1,0.2,0.1,0.5250564217567444,0.4137837588787079,0.5855379104614258,0.7410120964050293,0.4853353500366211,0.3699633777141571,0.5483652353286743,0.7127934098243713,0.49135470390319824,0.3722697049379349,0.5584045648574829,0.7238502502441406,0.5051958560943604,0.3918735682964325,0.56695157289505,0.7269027531147003
uvrgcn,sub,all,True,True,True,0,2025-10-11 01:18:57.023458,0.9,7,7,0.03,0.001,200,0.03,0.1,0.35,0.1,0.5311735272407532,0.41921043395996094,0.5955772995948792,0.7444037795066833,0.48978543281555176,0.3748473823070526,0.5514855980873108,0.7163207530975342,0.4964292645454407,0.3769502192735672,0.5637634098529816,0.7275132536888123,0.5104794502258301,0.3970289081335068,0.573531448841095,0.7303622663021088
uvrgcn,sub,all,False,True,True,0,2025-10-12 02:19:28.079742,0.9,7,7,0.03,0.001,200,0.03,0.1,1,0.1,0.5135087370872498,0.4065934121608734,0.5714285969734192,0.7190340757369995,0.4755549430847168,0.36942070722579956,0.5262515544891357,0.688237726688385,0.4811183512210846,0.3688102066516876,0.5411748886108398,0.7007190585136414,0.4945318400859833,0.3880070596933365,0.5488400757312775,0.7036359012126923
uvrgcn,sub,all,True,True,True,0,2025-10-14 02:17:08.741176,0.9,7,7,0.03,0.001,200,0.03,0.1,1,0.1,0.52845299243927,0.41595444083213806,0.5912359356880188,0.7396554350852966,0.4895244538784027,0.3729480504989624,0.5540632605552673,0.7129290699958801,0.4949718713760376,0.37464389204978943,0.5632885694503784,0.7237824201583862,0.5089887380599976,0.39445124566555023,0.5726495981216431,0.7262922525405884,5090,0.6504746675491333,0.5337917804718018,0.7275049090385437,0.8628684282302856,1540,0.27631568908691406,0.16688311100006104,0.30129870772361755,0.5032467246055603,305,0.2000165581703186,0.10491803288459778,0.2426229566335678,0.39016392827033997,61,0.10662255436182022,0.049180325120687485,0.13114753365516663,0.19672130048274994,-69.25067675211034,-57.52091466866499
uvrgcn,sub,all,True,True,True,0,2025-10-20 01:56:22.302823,0.9,7,7,0.03,0.001,200,0.03,0.1,1,0.1,0.534156858921051,0.42409443855285645,0.5940849781036377,0.7433184385299683,0.4939563572406769,0.378917396068573,0.5544702410697937,0.7152354121208191,0.49974924325942993,0.38122372329235077,0.5649844408035278,0.7255460917949677,0.5140566229820251,0.4015059173107147,0.5742776095867157,0.7292769253253937,5090,0.6525171399116516,0.5379174947738647,0.7278978824615479,0.8628684282302856,1540,0.3006668984889984,0.19025973975658417,0.3305194675922394,0.5292207598686218,305,0.19425727427005768,0.10819672048091888,0.20327869057655334,0.38032788038253784,61,0.14097860455513,0.049180325120687485,0.21311473846435547,0.31147539615631104,-70.22955223883324,-53.92199222081621
uvrgcn,sub,all,True,True,True,0,2025-10-20 13:42:37.145227,0.9,7,7,0.03,0.001,200,0.03,0.1,1,0.1,0.5323493480682373,0.42300909757614136,0.5928639769554138,0.743996798992157,0.4945615530014038,0.38244473934173584,0.5529779195785522,0.7137430906295776,0.4989253878593445,0.3817663937807083,0.5632885992527008,0.7259531021118164,0.5134554505348206,0.4027269184589386,0.572920948266983,0.7288699448108673,5090,0.6566287279129028,0.5432220101356506,0.7312377691268921,0.8644400835037231,1540,0.2823408544063568,0.17077921330928802,0.31623375415802,0.5214285850524902,305,0.19581227004528046,0.10819672048091888,0.21639344096183777,0.4000000059604645,61,0.12405864894390106,0.09836065024137497,0.09836065024137497,0.19672130048274994,-70.17914968970813,-57.00144657030491
